Zip Code,Adjusted Gross Income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Total prepared returns,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",Number of refund anticipation loan returns,Number of refund anticipation check returns,Number of elderly returns [3],Adjusted gross income (AGI) [4],Number of returns.1,Total Income Amount
98001,"$1 under $25,000",4420,3280,530,560,1710,5590,1640,140,100,50,50,40,440,640,54567,4420,55475
98001,"$25,000 under $50,000",3750,2130,930,620,1570,6990,2350,90,70,30,0,0,580,610,137006,3750,138595
98001,"$50,000 under $75,000",2520,1010,1140,340,1160,5670,2000,30,0,30,0,0,270,570,156568,2520,158094
98001,"$75,000 under $100,000",1850,430,1250,140,840,4600,1500,0,0,0,0,0,170,470,160704,1850,162024
98001,"$100,000 under $200,000",2680,290,2270,120,1280,7320,2370,0,0,0,0,0,150,650,359959,2680,363321
98001,"$200,000 or more",540,40,490,0,340,1540,520,0,0,0,0,0,0,160,179968,540,183693
98002,"$1 under $25,000",5590,3690,610,1240,2140,8940,3250,340,220,120,70,80,1050,930,73987,5590,74680
98002,"$25,000 under $50,000",5140,2510,1160,1370,2160,11060,4770,250,180,70,50,70,1040,790,186790,5140,188050
98002,"$50,000 under $75,000",2440,980,1060,350,1110,5650,2150,80,30,50,0,0,350,520,149111,2440,150061
98002,"$75,000 under $100,000",1280,310,830,120,610,3320,1210,0,0,0,0,0,160,320,109919,1280,110729
98002,"$100,000 under $200,000",1140,190,900,50,560,2950,910,0,0,0,0,0,100,300,146063,1140,147205
98002,"$200,000 or more",120,20,90,0,70,310,100,0,0,0,0,0,0,40,32388,120,32855
98003,"$1 under $25,000",7790,5230,810,1650,3080,11790,4100,430,310,120,120,90,1160,1280,102269,7790,103518
98003,"$25,000 under $50,000",6450,3240,1510,1580,2760,13560,5640,230,160,60,40,70,1120,970,235025,6450,236931
98003,"$50,000 under $75,000",3280,1310,1410,500,1530,7700,3010,100,50,40,0,0,450,760,200376,3280,202031
98003,"$75,000 under $100,000",1750,490,1110,140,850,4400,1550,0,0,0,0,0,170,480,151757,1750,153030
98003,"$100,000 under $200,000",2070,350,1610,100,1020,5330,1640,0,0,0,0,0,130,620,276121,2070,278201
98003,"$200,000 or more",400,60,340,0,250,1040,310,0,0,0,0,0,0,150,159915,400,162555
98004,"$1 under $25,000",3210,2670,270,200,1330,2990,480,120,50,60,30,0,170,610,34309,3210,35395
98004,"$25,000 under $50,000",2300,1710,330,210,890,3190,610,60,40,20,0,0,200,450,85736,2300,87700
98004,"$50,000 under $75,000",1970,1390,420,130,780,2920,550,30,0,30,0,0,150,450,121431,1970,123257
98004,"$75,000 under $100,000",1590,940,520,90,740,2580,460,0,0,0,0,0,90,460,138599,1590,140336
98004,"$100,000 under $200,000",4290,1850,2150,210,1880,8230,1800,0,0,0,0,0,190,980,611323,4290,618865
98004,"$200,000 or more",4080,630,3270,130,2730,11340,4010,0,0,0,0,0,40,980,3478159,4080,3516591
98005,"$1 under $25,000",1980,1600,240,120,710,2120,420,110,80,40,40,0,90,380,22894,1980,23559
98005,"$25,000 under $50,000",1550,1050,300,160,560,2480,650,90,50,40,0,0,150,330,57419,1550,58589
98005,"$50,000 under $75,000",1270,730,410,100,530,2220,540,40,0,40,0,0,90,290,78816,1270,80151
98005,"$75,000 under $100,000",1020,430,530,60,480,2020,480,0,0,0,0,0,40,260,88239,1020,89661
98005,"$100,000 under $200,000",2190,590,1480,100,990,5120,1450,0,0,0,0,0,80,530,305961,2190,310577
98005,"$200,000 or more",1600,160,1400,40,950,4900,1900,0,0,0,0,0,0,340,807799,1600,818191
98006,"$1 under $25,000",4470,3720,470,230,1550,3920,700,150,90,60,60,0,200,750,45841,4470,47175
98006,"$25,000 under $50,000",2510,1630,590,250,920,4070,1030,100,60,40,0,0,170,550,92510,2510,94770
98006,"$50,000 under $75,000",1860,1000,670,160,770,3390,870,0,0,0,0,0,100,590,115309,1860,117944
98006,"$75,000 under $100,000",1540,520,860,130,680,3360,970,20,0,20,0,0,70,530,133885,1540,136316
98006,"$100,000 under $200,000",4330,690,3430,190,1830,11670,3910,0,0,0,0,0,130,1430,623667,4330,633980
98006,"$200,000 or more",4120,230,3780,80,2260,13220,5320,0,0,0,0,0,30,900,1981447,4120,2012156
98007,"$1 under $25,000",3110,2270,400,380,1140,4060,1060,300,230,70,90,0,220,560,38722,3110,39489
98007,"$25,000 under $50,000",2490,1410,600,430,1070,4840,1760,180,140,40,40,0,240,390,90784,2490,92147
98007,"$50,000 under $75,000",1910,950,800,130,930,3700,980,50,30,20,0,0,120,360,120037,1910,121797
98007,"$75,000 under $100,000",1780,610,1070,70,980,3910,1060,30,0,30,0,0,70,250,153900,1780,155225
98007,"$100,000 under $200,000",2910,790,2010,80,1300,6910,2000,0,0,0,0,0,140,340,405009,2910,408509
98007,"$200,000 or more",1000,110,860,20,520,2860,1000,0,0,0,0,0,0,170,369573,1000,373073
98008,"$1 under $25,000",2910,2320,300,240,1020,3080,690,170,110,60,50,0,160,590,32528,2910,33356
98008,"$25,000 under $50,000",2010,1200,500,270,850,3650,1160,130,90,40,0,0,150,520,73415,2010,74642
98008,"$50,000 under $75,000",1460,740,530,150,630,2840,850,20,20,0,0,0,80,500,89879,1460,91312
98008,"$75,000 under $100,000",1180,430,660,70,540,2520,680,30,0,30,0,0,60,420,103402,1180,104823
98008,"$100,000 under $200,000",2910,560,2180,130,1280,7460,2370,0,0,0,0,0,110,800,416008,2910,421646
98008,"$200,000 or more",1820,170,1590,50,980,5570,2160,0,0,0,0,0,0,320,803556,1820,810873
98010,"$1 under $25,000",640,510,60,60,190,630,140,30,0,30,0,0,50,110,7035,640,7177
98010,"$25,000 under $50,000",480,290,110,70,180,760,190,0,0,0,0,0,70,110,17475,480,17711
98010,"$50,000 under $75,000",340,150,160,40,170,690,190,0,0,0,0,0,40,120,21354,340,21631
98010,"$75,000 under $100,000",330,80,220,30,160,780,240,0,0,0,0,0,30,100,28590,330,28857
98010,"$100,000 under $200,000",580,100,470,30,290,1530,490,0,0,0,0,0,40,160,78551,580,79290
98010,"$200,000 or more",250,0,240,0,160,790,300,0,0,0,0,0,0,50,99965,250,101786
98011,"$1 under $25,000",2980,2430,290,210,900,3140,590,130,50,80,20,0,220,650,35184,2980,36044
98011,"$25,000 under $50,000",2520,1690,480,290,870,4020,1050,90,40,50,0,0,300,520,93191,2520,94874
98011,"$50,000 under $75,000",1770,990,590,170,640,3170,810,0,0,0,0,0,190,450,109683,1770,111285
98011,"$75,000 under $100,000",1320,490,740,70,520,2780,720,20,0,20,0,0,110,390,114249,1320,115680
98011,"$100,000 under $200,000",2690,460,2090,120,1050,7070,2290,0,0,0,0,0,120,600,375775,2690,380187
98011,"$200,000 or more",1110,60,1020,20,560,3530,1400,0,0,0,0,0,20,160,381770,1110,385929
98012,"$1 under $25,000",6640,5380,710,490,2100,6890,1400,160,80,80,50,0,540,1130,79199,6640,80956
98012,"$25,000 under $50,000",5350,3370,1150,710,1870,8940,2490,100,70,40,0,0,660,970,197954,5350,201105
98012,"$50,000 under $75,000",4210,2010,1630,470,1680,8380,2550,50,0,50,0,0,430,940,261492,4210,265350
98012,"$75,000 under $100,000",3740,1100,2290,300,1570,8940,2910,0,0,0,0,0,340,780,325588,3740,329217
98012,"$100,000 under $200,000",8040,1000,6660,320,3320,22900,8200,0,0,0,0,0,370,1460,1120629,8040,1132525
98012,"$200,000 or more",2390,170,2170,50,1270,7280,2710,0,0,0,0,0,40,390,763396,2390,774262
98014,"$1 under $25,000",830,680,80,60,300,820,150,0,0,0,0,0,50,160,9449,830,9722
98014,"$25,000 under $50,000",550,370,120,60,220,900,240,0,0,0,0,0,70,120,20028,550,20330
98014,"$50,000 under $75,000",460,220,200,30,220,890,230,0,0,0,0,0,50,130,28564,460,28994
98014,"$75,000 under $100,000",370,100,230,30,180,820,220,0,0,0,0,0,0,110,31760,370,32141
98014,"$100,000 under $200,000",780,110,630,40,380,2070,650,0,0,0,0,0,40,190,108352,780,109921
98014,"$200,000 or more",430,20,400,0,250,1300,480,0,0,0,0,0,0,70,163563,430,166227
98019,"$1 under $25,000",1270,1070,110,90,450,1140,210,0,0,0,0,0,90,230,13475,1270,13760
98019,"$25,000 under $50,000",860,530,190,130,350,1470,430,0,0,0,0,0,90,160,31293,860,31932
98019,"$50,000 under $75,000",650,280,290,60,300,1360,420,0,0,0,0,0,50,200,39739,650,40555
98019,"$75,000 under $100,000",580,160,370,50,280,1390,440,0,0,0,0,0,50,160,50320,580,51143
98019,"$100,000 under $200,000",1550,170,1320,70,650,4530,1660,0,0,0,0,0,100,250,220832,1550,223520
98019,"$200,000 or more",620,30,580,0,340,2050,850,0,0,0,0,0,0,80,215508,620,218631
98020,"$1 under $25,000",2420,2030,260,100,920,2310,240,150,30,120,0,0,110,840,27462,2420,28303
98020,"$25,000 under $50,000",1870,1330,350,150,740,2590,390,80,0,80,0,0,150,690,69799,1870,71239
98020,"$50,000 under $75,000",1510,840,510,120,720,2450,450,50,0,50,0,0,90,720,93259,1510,94792
98020,"$75,000 under $100,000",1220,520,610,80,640,2310,480,20,0,20,0,0,50,610,105946,1220,107561
98020,"$100,000 under $200,000",2440,460,1880,90,1360,5860,1550,0,0,0,0,0,90,1100,341099,2440,346761
98020,"$200,000 or more",1390,150,1200,40,1030,3710,1130,0,0,0,0,0,0,610,724633,1390,739927
98021,"$1 under $25,000",3280,2710,350,180,1000,3150,520,90,30,70,0,0,210,740,37542,3280,38413
98021,"$25,000 under $50,000",2310,1490,510,270,800,3780,990,70,30,40,0,0,260,520,85228,2310,86785
98021,"$50,000 under $75,000",1780,840,730,180,720,3450,950,30,0,30,0,0,170,490,110624,1780,112279
98021,"$75,000 under $100,000",1560,430,970,130,630,3680,1150,0,0,0,0,0,110,410,135652,1560,137300
98021,"$100,000 under $200,000",3760,430,3170,130,1440,11080,4150,0,0,0,0,0,190,680,530771,3760,536238
98021,"$200,000 or more",1490,60,1400,30,740,4940,2040,0,0,0,0,0,0,160,492832,1490,498179
98022,"$1 under $25,000",2910,2220,370,290,1150,3420,750,110,30,80,0,0,320,690,36312,2910,37022
98022,"$25,000 under $50,000",2330,1390,550,350,1050,4000,1140,60,0,60,0,0,330,570,85644,2330,86616
98022,"$50,000 under $75,000",1560,690,660,170,870,3140,920,0,0,0,0,0,190,470,96678,1560,98010
98022,"$75,000 under $100,000",1140,270,770,90,670,2760,850,0,0,0,0,0,110,320,98907,1140,99987
98022,"$100,000 under $200,000",2070,250,1740,70,1260,5550,1750,0,0,0,0,0,110,600,279259,2070,282442
98022,"$200,000 or more",460,40,410,0,360,1250,380,0,0,0,0,0,0,150,171215,460,174833
98023,"$1 under $25,000",7220,5170,760,1200,2550,9820,3160,300,210,90,80,50,1000,1010,91786,7220,93268
98023,"$25,000 under $50,000",5910,3140,1320,1330,2310,11680,4500,190,140,50,40,60,1060,890,215838,5910,218366
98023,"$50,000 under $75,000",3620,1440,1550,550,1590,8330,3160,70,50,30,0,0,480,740,222448,3620,224741
98023,"$75,000 under $100,000",2420,630,1570,190,1100,5920,1940,20,0,20,0,0,230,680,209292,2420,211221
