ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Gender,Age,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome,Age_empflag,AvgHomeValue_empflag,AvgIncome_empflag
250,1,75,6,11,2,4,3,M,53,H,50,33400,39460,FALSE,FALSE,FALSE
551,1,100,4,8,2,3,4,M,53,U,67,217000,53513.45736,FALSE,FALSE,TRUE
793,1,75,4,9,1,2,3,M,53,H,49,37600,33545,FALSE,FALSE,FALSE
1102,1,55,8,12,2,4,3,F,53,H,49,100400,42091,FALSE,FALSE,FALSE
3550,1,50,7,10,1,1,3,F,53,H,47,39900,39313,FALSE,FALSE,FALSE
4340,0,,6,11,2,2,2,U,53,U,49,97600,65037,FALSE,FALSE,FALSE
4390,1,50,3,7,1,2,2,F,53,U,48,47500,53513.45736,FALSE,FALSE,TRUE
4393,1,50,7,10,1,3,2,M,53,U,49,53000,49487,FALSE,FALSE,FALSE
4956,0,,3,8,1,3,2,F,53,U,49,91000,53513.45736,FALSE,FALSE,TRUE
5510,1,100,8,12,2,4,3,M,53,U,49,140800,71499,FALSE,FALSE,FALSE
5610,1,50,9,14,2,3,2,F,53,H,50,66300,49047,FALSE,FALSE,FALSE
6047,0,,7,12,1,3,3,M,53,H,51,159600,80468,FALSE,FALSE,FALSE
6164,0,,6,11,1,3,3,U,53,U,48,58800,53513.45736,FALSE,FALSE,TRUE
6169,1,25,8,11,2,3,1,M,53,H,48,55000,43927,FALSE,FALSE,FALSE
6198,1,100,8,13,1,3,4,F,53,U,49,46900,47256,FALSE,FALSE,FALSE
6304,1,100,6,11,1,3,3,F,53,H,54,450000,101793,FALSE,FALSE,FALSE
6490,1,125,7,10,1,1,2,F,53,H,61,550100,82540,FALSE,FALSE,FALSE
6511,0,,4,9,1,4,4,F,53,H,53,49000,40043,FALSE,FALSE,FALSE
7554,0,,4,8,1,3,1,U,53,U,50,215600,53513.45736,FALSE,FALSE,TRUE
8744,0,,5,10,1,1,2,M,53,H,50,33500,31845,FALSE,FALSE,FALSE
9230,1,25,6,11,1,1,1,F,53,U,60,176500,61523,FALSE,FALSE,FALSE
11267,1,30,4,9,1,3,1,M,53,H,51,111700,89077,FALSE,FALSE,FALSE
11399,1,40,5,9,1,2,1,F,53,H,64,543500,165543,FALSE,FALSE,FALSE
12022,0,,8,13,1,3,4,F,53,U,49,51700,53513.45736,FALSE,FALSE,TRUE
12715,1,75,8,10,1,1,4,M,53,U,49,74400,42099,FALSE,FALSE,FALSE
12785,1,50,8,13,2,4,2,F,53,H,53,310000,44543,FALSE,FALSE,FALSE
12819,1,100,7,12,1,3,4,M,53,H,50,225700,71260,FALSE,FALSE,FALSE
12822,1,25,6,11,1,3,1,M,53,U,62,243900,53513.45736,FALSE,FALSE,TRUE
12954,0,,8,13,2,2,2,F,53,U,50,78900,53504,FALSE,FALSE,FALSE
13565,0,,3,8,1,3,2,M,53,H,48,48100,34000,FALSE,FALSE,FALSE
14386,1,50,7,11,1,3,2,F,53,H,55,185700,93770,FALSE,FALSE,FALSE
