Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,22901-225145,北京西站第一咖啡店,Company Owned,"丰台区, 北京西站通廊7-1号, 中关村南大街2号",北京市,11,CN,100073,,GMT+08:00 Asia/Beijing,116.32,39.9
Starbucks,32320-116537,北京华宇时尚店,Company Owned,"海淀区, 数码大厦B座华宇时尚购物中心内, 蓝色港湾国际商区1座C1-3单元首层、",北京市,11,CN,100086,010-51626616,GMT+08:00 Asia/Beijing,116.32,39.97
Starbucks,32447-132306,北京蓝色港湾圣拉娜店,Company Owned,"朝阳区朝阳公园路6号, 二层C1-3单元及二层阳台, 太阳宫中路12号",北京市,11,CN,100020,010-59056343,GMT+08:00 Asia/Beijing,116.47,39.95
Starbucks,17477-161286,北京太阳宫凯德嘉茂店,Company Owned,"朝阳区, 太阳宫凯德嘉茂一层01-44/45号, 东三环北路27号",北京市,11,CN,100028,010-84150945,GMT+08:00 Asia/Beijing,116.45,39.97
Starbucks,24520-237564,北京东三环北店,Company Owned,"朝阳区, 嘉铭中心大厦A座B1层024商铺, 金融大街7号",北京市,11,CN,,,GMT+08:00 Asia/Beijing,116.46,39.93
Starbucks,31914-108612,北京英蓝国际店,Company Owned,"西城区, 英蓝国际金融中心首层F111-F112单元, 建国门内大街18号",北京市,11,CN,100034,010-66555218,GMT+08:00 Asia/Beijing,116.36,39.92
Starbucks,19442-200166,北京建国门内大街店,Company Owned,"东城区, 恒基中心一层039单元, 北清路1号院1号楼",北京市,11,CN,100005,,GMT+08:00 Asia/Beijing,116.43,39.91
Starbucks,17139-178351,北京北清路永旺商城店,Company Owned,"昌平区, 永旺国际商城购物中心1层NO.120区域, 建内大街19号",北京市,11,CN,102208,010-80700820,GMT+08:00 Asia/Beijing,116.29,40.1
Starbucks,26185-242824,北京新闻大厦店,Company Owned,"东城区, 新闻大厦1层, 酒仙桥路12号",北京市,11,CN,,,GMT+08:00 Asia/Beijing,116.42,39.91
Starbucks,48635-258004,北京酒仙桥路咖啡店,Company Owned,"朝阳区, 乐天玛特超市1层LJ02-50单元, 建国门外大街丙12号",北京市,11,CN,,,GMT+08:00 Asia/Beijing,116.49,39.98
Starbucks,25023-239564,北京宝钢大厦店,Company Owned,"朝阳区, 宝钢大厦1层, 惠新东街钱柜一层",北京市,11,CN,100022,,GMT+08:00 Asia/Beijing,116.45,39.91
Starbucks,22585-219967,北京惠新东街咖啡店,Company Owned,"惠新东街4号, 广渠家园3号楼1层",北京市,11,CN,100029,010-84298776,GMT+08:00 Asia/Beijing,116.42,39.99
Starbucks,18483-185651,北京广渠门名敦道店,Company Owned,"东城区, 新中街瑞士公寓1、2层L103&L202A",北京市,11,CN,100022,010-87224941,GMT+08:00 Asia/Beijing,116.45,39.89
Starbucks,32448-132307,北京新中街瑞士公寓店,Company Owned,"东城区, 西单北大街176号",北京市,11,CN,,010-65513686,GMT+08:00 Asia/Beijing,116.44,39.93
