id,Acc,avg_exp,avg_exp_ln,gender,Age,Income,Ownrent,Selfempl,dist_home_val,dist_avg_income,age2,high_avg,edu_class
19,1,1217.03,7.104168743,1,40,16.03515,1,1,99.93,15.93278947,1600,0.102360526,3
5,1,1251.5,7.132098111,1,32,15.8475,1,0,49.88,15.79631579,1024,0.051184211,2
95,0, , ,1,36,8.4,0,0,88.61,7.49,1296,0.91,1
86,1,856.57,6.752936042,1,41,11.47285,1,0,16.1,11.27563158,1681,0.197218421,3
50,1,1321.83,7.186772419,1,28,13.40915,1,0,100.39,13.34647368,784,0.062676316,2
67,1,816.03,6.704451119,1,41,10.03015,0,1,119.76,10.33226316,1681,-0.302113158,3
97,1,1151.15,7.048516722,1,33,11.70575,1,0,38.9,11.52605263,1089,0.179697368,3
38,1,1233.77,7.117829801,1,37,11.81885,1,0,61.05,12.49089474,1369,-0.672044737,3
100,1,802.52,6.687756777,1,46,9.3126,1,0,58.74,9.053263158,2116,0.259336842,2
30,1,2167.77,7.681454268,1,40,16.28885,1,0,157.9,17.05668421,1600,-0.767834211,3
25,1,654.58,6.483993809,1,43,8.2129,1,0,106.45,8.574631579,1849,-0.361731579,2
69,0, , ,1,22,5.1,0,0,109.07,4.78,484,0.32,1
99,1,1102.2,7.005063461,1,26,10.311,1,0,126.69,10.77052632,676,-0.459526316,2
65,0, , ,0,27,4.9,0,1,53.93,5.43,729,-0.53,1
57,1,2430.03,7.795658882,1,34,16.90015,0,0,141.43,18.427,1156,-1.52685,3
40,1,1052.35,6.958781038,1,28,9.81175,1,0,121.88,10.99605263,784,-1.184302632,3
1,1,791.98,6.674536139,0,38,8.3799,1,0,49.11,9.103052632,1444,-0.723152632,1
26,1,1672.2,7.421895404,0,30,9.571,0,0,94.72,10.23736842,900,-0.666368421,3
3,1,1342,7.201916318,0,34,7.91,1,0,58.92,7.749473684,1156,0.160526316,3
87,0, , ,0,41,4.39,0,1,97.06,4.65,1681,-0.26,1
90,0, , ,1,54,4.18,0,0,10.01,4.59,2916,-0.41,0
76,0, , ,0,24,4.1,0,0,107.6,4.74,576,-0.64,1
17,1,883.72,6.78414027,1,40,8.3686,1,0,114.02,9.268526316,1600,-0.899926316,3
24,1,726.64,6.588431169,1,36,7.4332,0,0,130.46,8.043894737,1296,-0.610694737,2
81,0, , ,0,33,4,0,0,7.84,4.34,1089,-0.34,0
7,1,552.83,6.31505054,0,28,6.62415,0,0,75.85,7.784368421,784,-1.160218421,1
11,1,987.66,6.895338509,1,31,8.5383,1,0,33.47,9.129789474,961,-0.591489474,1
68,1,1214.54,7.102120683,0,42,6.6727,0,0,79.92,6.448631579,1764,0.224068421,3
27,0, , ,1,22,3.84,0,0,91.98,4.5,484,-0.66,1
9,1,1472.82,7.294934209,1,37,10.9641,1,0,94.07,12.20115789,1369,-1.237057895,2
77,1,744.66,6.612927738,0,24,7.3733,0,0,22.72,8.424,576,-1.0507,1
85,0, , ,0,40,3.71,0,0,61.6,3.34,1600,0.37,1
98,1,1344.05,7.203442723,0,25,7.02025,0,0,136.05,7.090263158,625,-0.070013158,3
51,0, , ,0,50,3.6,0,0,22.27,3.91,2500,-0.31,0
36,1,1778.3,7.483413131,0,43,9.1315,1,0,33.21,9.705789474,1849,-0.574289474,3
39,1,834.47,6.726796793,1,27,7.62235,0,0,41.38,8.689315789,729,-1.066965789,3
20,0, , ,0,46,3.4,0,0,31.99,3.97,2116,-0.57,0
88,0, , ,0,35,3.3,0,1,26.91,3.88,1225,-0.58,0
48,0, , ,0,38,3.26,0,0,25.14,2.95,1444,0.31,0
73,1,648.15,6.474122151,1,33,6.14075,0,0,28.49,6.992894737,1089,-0.852144737,1
10,1,884.58,6.785112956,0,28,5.9229,0,0,51.89,6.946210526,784,-1.023310526,2
16,1,1606.43,7.381769605,0,41,7.93215,1,0,86.11,8.761210526,1681,-0.829060526,3
32,1,959.83,6.866756185,1,29,7.79915,0,0,58.59,8.411210526,841,-0.612060526,2
58,1,1992.39,7.597090202,0,33,9.84195,0,0,60.52,11.06257895,1089,-1.220628947,3
33,0, , ,0,25,3.15,0,1,6.31,2.76,625,0.39,0
70,1,1752.47,7.4687815,0,25,8.53235,0,0,85.08,9.339842105,625,-0.807492105,3
79,1,1434.55,7.26860649,0,36,6.92275,0,0,57.75,7.766578947,1296,-0.843828947,3
61,1,565.8,6.338240659,0,25,5.729,0,0,75.25,5.912631579,625,-0.183631579,1
41,1,1581.94,7.366407221,0,26,7.6097,1,0,61.72,8.332315789,676,-0.722615789,3
56,1,711.89,6.567923405,0,33,6.45945,0,0,58.63,7.071526316,1089,-0.612076316,1
18,0, , ,0,30,3,0,1,106.8,3.7,900,-0.7,1
35,1,994.54,6.902280319,0,24,6.2727,0,0,17.41,7.194947368,576,-0.922247368,2
78,1,888.46,6.789489627,0,25,5.6223,0,0,71.7,6.046631579,625,-0.424331579,2
92,0, , ,0,45,2.81,0,1,119.98,2.56,2025,0.25,0
63,1,701.07,6.552607739,0,26,6.20535,0,0,123.52,6.694578947,676,-0.489228947,1
54,1,806.13,6.69224502,0,24,5.13065,0,0,112.93,5.863315789,576,-0.732665789,2
74,1,1299.37,7.169634811,0,37,5.91685,0,0,118.77,5.975105263,1369,-0.058255263,3
64,1,809.51,6.696429126,0,22,5.04755,0,0,98.92,5.801105263,484,-0.753555263,2
82,1,610.25,6.413868709,0,55,3.99125,1,0,116.93,4.932368421,3025,-0.941118421,2
45,0, , ,0,38,2.6,0,0,29.83,3.11,1444,-0.51,0
42,1,485.65,6.1854882,0,23,4.91825,0,0,50.15,5.470789474,529,-0.552539474,1
80,1,963.68,6.870759289,0,33,5.6684,0,0,100.92,6.192526316,1089,-0.524126316,2
4,1,993.87,6.901606413,0,31,5.80935,0,0,66.71,6.111421053,961,-0.302071053,2
29,0, , ,0,34,2.5,0,1,25.59,2.48,1156,0.02,0
6,1,524,6.261491684,0,23,5.02,0,0,14.76,5.252631579,529,-0.232631579,1
66,0, , ,0,26,2.5,0,0,75.22,2.65,676,-0.15,1
91,0, , ,0,34,2.49,0,0,74.09,3.59,1156,-1.1,0
34,1,1403.72,7.246881134,0,21,7.7886,1,0,133.18,7.948526316,441,-0.159926316,2
71,1,1629.05,7.395752302,0,31,7.30525,1,0,64.61,8.310263158,961,-1.005013158,3
14,1,745.87,6.614551322,0,29,6.07935,1,0,96.51,7.020368421,841,-0.941018421,1
2,0, , ,0,33,2.42,0,0,40.57,3.43,1089,-1.01,1
55,1,527.19,6.267561015,0,26,4.93595,0,0,24.95,5.759421053,676,-0.823471053,1
93,1,520.38,6.254559314,0,43,4.9019,0,0,13.13,5.253578947,1849,-0.351678947,1
84,1,251.56,5.52768153,0,29,5.1578,0,0,63.23,5.492947368,841,-0.335147368,0
8,1,817.79,6.70660558,0,29,6.35895,1,0,44.39,6.318894737,841,0.040055263,1
49,1,889.08,6.79018722,0,26,5.0954,0,0,50.88,5.909894737,676,-0.814494737,2
21,1,1048.34,6.95496324,0,35,5.8917,1,0,67.47,7.078105263,1225,-1.186405263,2
89,0, , ,0,24,2.3,0,0,11.5,2.12,576,0.18,0
62,1,847.78,6.742621168,0,27,4.8189,0,0,57.69,5.952526316,729,-1.133626316,2
37,0, , ,0,43,2.28,0,0,110.32,2.32,1849,-0.04,0
75,1,593.11,6.385379879,0,27,5.06555,0,0,38.06,5.556368421,729,-0.490818421,1
31,1,772.69,6.649877933,0,22,4.19345,0,0,62.29,5.237315789,484,-1.043865789,2
52,1,545.2,6.3011527,0,24,4.626,0,0,119.39,4.454210526,576,0.171789474,1
23,1,905.52,6.808509364,0,34,6.4276,1,0,27.82,6.960631579,1156,-0.533031579,1
47,1,1175.49,7.069440361,0,36,6.17745,0,0,109.06,7.327315789,1296,-1.149865789,2
72,1,1006.35,6.914085203,0,27,5.33175,0,0,133.26,6.557105263,729,-1.225355263,2
12,0, , ,0,42,1.98,0,1,64.2,2.65,1764,-0.67,0
15,1,727.62,6.589778934,0,35,5.4481,1,0,32.98,5.924315789,1225,-0.476215789,1
22,0, , ,0,25,1.88,0,0,71.11,2.51,625,-0.63,1
44,1,695.85,6.54513412,0,30,5.22925,0,0,73.69,5.967105263,900,-0.737855263,1
59,0, , ,0,45,1.8,0,0,98.14,3,2025,-1.2,0
46,0, , ,0,28,1.8,0,0,79.9,2.28,784,-0.48,1
13,0, , ,0,30,1.73,0,1,66.36,2.75,900,-1.02,0
53,1,491.04,6.196525591,0,21,4.0552,0,0,36.81,4.349157895,441,-0.293957895,1
83,1,468.61,6.149770866,0,20,3.89305,0,0,66.75,4.551105263,400,-0.658055263,1
96,0, , ,0,22,1.56,0,0,68.33,1.84,484,-0.28,1
43,1,593.92,6.38674463,0,30,4.3796,0,0,124.23,5.040631579,900,-0.661031579,1
60,1,418.78,6.037345722,0,21,3.4939,0,0,34.46,3.828842105,441,-0.334942105,1
28,1,163.18,5.094853886,0,22,3.8159,0,0,63.27,3.997789474,484,-0.181889474,0
94,0, , ,0,35,1.5,0,0,109.16,1.93,1225,-0.43,1
