ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Age,Gender,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome
12,1,50,6,10,2,3,4,51,M,H,50,33400,39460
53,0,,5,9,1,4,3,50,M,H,49,37600,33545
67,1,25,6,11,2,4,1,51,F,H,49,100400,42091
71,1,80,7,10,2,4,1,48,F,H,47,39900,39313
142,1,15,6,11,2,4,1,,F,U,48,47500,
159,1,60,8,13,2,4,2,52,M,U,49,53000,49487
186,0,,7,13,2,4,2,,F,U,49,91000,
210,0,,5,10,2,3,3,49,F,H,50,66300,49047
220,1,40,7,10,2,3,1,43,M,H,48,55000,43927
250,1,75,6,11,2,4,3,53,F,U,49,46900,47256
257,0,,3,7,1,1,3,46,F,H,53,49000,40043
263,1,50,8,13,2,4,3,51,U,U,50,215600,
268,1,165,7,12,2,4,2,40,F,U,60,176500,61523
282,1,100,4,7,1,2,2,37,M,H,51,111700,89077
325,0,,6,10,2,4,2,40,F,H,64,543500,165543
341,1,125,7,12,2,4,3,49,F,U,49,51700,
364,1,50,6,11,2,4,4,47,F,H,53,310000,44543
368,1,50,6,11,2,4,1,51,M,H,50,225700,71260
383,0,,6,11,2,2,2,,M,U,62,243900,
387,1,25,3,8,1,3,1,,F,U,50,78900,53504
397,1,80,4,8,1,1,4,51,F,H,55,185700,93770
403,1,175,6,9,2,3,3,47,U,U,64,76500,60721
427,1,50,4,9,1,3,2,,M,U,49,70900,
441,1,50,7,12,2,4,1,46,F,U,48,55000,19203
458,0,,4,9,1,4,3,52,F,U,51,168800,
511,1,60,6,10,2,3,3,52,F,U,50,102400,42324
527,0,,6,12,2,4,1,48,F,H,49,68400,62414
539,0,,5,9,2,2,3,51,M,H,67,200300,105000
542,1,50,3,7,1,1,1,,M,U,52,53500,
544,0,,7,12,2,4,2,47,F,U,49,26600,39250
545,0,,6,10,2,3,3,44,F,H,51,122100,62793
551,1,100,4,8,2,3,4,53,F,H,49,34000,36236
557,1,75,7,12,2,4,2,,F,H,49,78900,37480
564,0,,6,10,2,4,2,47,F,H,60,257300,101339
578,1,50,7,11,2,4,2,,F,U,49,182100,
591,1,125,7,12,2,4,3,52,M,H,60,71100,37481
637,1,125,7,11,2,4,4,52,F,H,52,286500,69298
661,1,100,7,12,2,4,2,38,M,H,58,180100,40805
665,0,,7,12,2,2,4,45,F,H,54,74200,59522
675,1,75,5,9,2,3,2,52,F,H,51,171400,50221
683,1,25,7,11,2,4,1,51,F,U,49,225700,
687,0,,6,10,2,4,1,50,M,H,49,140700,72702
701,0,,7,12,2,4,2,,F,U,58,40700,
714,0,,6,12,2,4,4,38,F,H,51,205100,53218
718,1,175,6,11,2,4,2,51,F,H,59,121500,44440
727,1,10,5,10,2,4,1,50,F,H,49,24000,45515
751,1,55,6,11,2,4,2,49,F,U,50,225000,
785,1,90,5,9,2,1,2,45,M,U,59,61300,16921
790,1,75,4,9,1,1,2,50,M,U,54,58000,53929
793,1,75,4,9,1,2,3,53,F,H,52,156800,41505
804,0,,3,9,1,3,1,15,F,H,50,122700,37446
826,0,,5,10,1,3,3,28,F,U,49,34800,
894,1,200,9,14,2,4,2,46,M,H,55,86000,48783
898,0,,4,9,1,3,1,51,F,H,49,38800,41000
903,0,,4,8,1,3,1,,F,U,49,52800,38578
905,0,,4,8,1,1,3,48,M,H,55,162900,64459
931,1,60,6,12,2,4,1,44,M,H,49,64600,40909
959,1,50,3,7,1,2,2,45,F,H,50,58600,54871
971,1,40,6,11,2,4,2,46,F,H,49,69500,36415
987,1,15,7,11,3,4,1,46,F,H,50,214000,100300
1006,1,105,8,13,2,4,4,49,F,H,49,38500,37125
1007,0,,6,11,2,4,1,49,F,H,48,26600,29327
1012,1,75,7,12,2,4,3,51,M,H,49,113300,42061
1034,1,60,7,12,2,4,4,,M,H,50,141600,49306
1042,1,40,3,8,1,3,2,,M,H,50,82600,38166
1054,1,40,3,7,1,2,1,,F,U,50,116100,
1064,1,25,8,13,2,4,2,49,M,U,49,143700,
1068,1,25,5,10,1,3,1,49,F,H,53,352800,92525
1092,1,75,7,12,2,4,3,49,M,H,55,581700,72750
1101,1,100,7,12,2,4,3,46,F,H,48,48300,35567
1102,1,55,8,12,2,4,3,53,M,U,49,88200,65650
1154,0,,3,7,1,2,3,51,F,U,51,113100,
1196,0,,6,11,2,4,1,38,M,U,49,134800,92295
1249,1,160,6,11,2,4,2,,M,U,49,143500,
1254,1,150,3,7,1,1,2,44,M,H,65,110200,76187
1264,0,,2,5,1,2,3,50,M,H,50,68900,36042
1292,1,75,4,8,1,3,2,44,M,H,50,69200,53046
1293,1,10,4,9,1,3,1,51,F,H,50,91700,80104
1322,1,70,7,12,2,4,4,46,F,U,50,37600,45397
1329,0,,4,8,1,3,3,48,M,U,50,74500,48020
1334,0,,3,7,1,1,3,,M,U,71,113800,
1348,0,,5,9,1,3,3,,U,U,52,275000,
1357,1,75,8,13,2,4,3,41,F,H,50,88900,61176
1371,1,175,4,8,1,3,2,51,F,U,60,275300,
1396,0,,4,9,1,3,4,44,M,H,50,73000,43156
1397,0,,6,11,2,4,3,45,M,H,49,102400,47043
1400,0,,4,9,1,3,1,,M,H,51,180500,104341
1431,0,,6,11,2,4,2,51,M,H,49,41200,42813
1442,1,120,8,13,2,4,2,40,F,H,57,160200,75543
1480,0,,5,10,2,4,3,,F,U,65,150700,48772
1485,0,,4,9,1,3,3,44,F,H,52,193000,59239
1502,0,,3,6,1,1,3,45,F,H,54,176500,66172
1505,0,,6,12,2,4,4,,M,U,50,85600,
1544,1,50,4,8,1,1,4,43,F,H,56,326000,47807
1549,1,250,4,7,1,3,3,52,M,U,77,586300,
1556,1,125,3,6,1,0,3,44,F,U,55,216700,64579
1617,1,75,7,12,2,4,3,51,F,H,56,597000,174183
1635,0,,3,8,1,1,2,44,M,U,56,345300,
1646,1,50,4,8,1,3,2,44,M,H,50,67500,45897
1673,1,200,6,11,2,4,3,49,F,H,49,103300,44032
1685,1,100,5,9,2,3,4,49,U,U,50,113000,
1722,1,50,6,11,2,4,4,43,M,H,51,166800,64695
1731,1,60,8,11,2,4,3,51,M,H,51,198200,91864
1748,0,,5,9,1,3,2,50,M,H,59,40600,40054
1765,0,,3,7,1,2,1,,M,H,52,226200,61230
1779,1,62.5,5,10,2,3,4,,M,U,50,41700,
1789,0,,3,8,1,3,2,51,M,U,50,61300,46044
1799,1,50,7,12,2,4,2,,M,H,49,86000,51338
1818,0,,6,11,2,4,3,46,F,U,50,75700,48866
1832,0,,7,11,2,4,2,,M,U,58,74500,
1889,0,,7,11,2,4,2,46,F,H,49,116200,41923
1899,1,62.5,4,8,1,2,3,44,M,H,52,151900,53225
1913,0,,5,9,2,3,4,50,M,U,50,59500,51954
1920,1,50,7,11,2,4,1,52,M,H,49,103200,38463
1925,1,175,5,8,2,3,2,50,M,H,60,346100,57132
1927,1,75,4,9,1,3,4,41,F,U,52,113300,61522
1928,0,,3,8,1,3,1,52,F,H,49,110400,59813
1959,1,250,6,9,2,3,3,41,F,H,67,267000,71604
1975,0,,6,9,2,3,3,47,M,H,49,69400,49394
1985,0,,4,9,1,3,3,45,M,H,52,140700,94179
1986,1,25,8,13,3,5,1,51,F,U,47,136800,
2020,1,35,7,11,2,4,2,50,F,U,52,355600,71746
2058,0,,4,8,1,2,4,,M,H,51,60500,44931
2063,0,,6,10,2,4,4,46,F,U,49,54300,40076
2081,1,35,7,11,2,4,2,,F,U,49,87100,56210
2085,1,100,7,12,2,4,2,45,M,H,57,85200,55882
2087,0,,7,11,2,4,1,,M,U,47,64900,
2151,1,125,7,12,2,4,2,44,M,H,57,112600,
2153,1,40,7,12,2,4,2,50,M,H,49,83900,63444
2154,1,75,7,11,2,4,2,51,M,H,57,65500,48104
2159,1,45,7,12,2,4,2,51,F,H,48,19800,27500
2162,0,,5,9,2,3,3,,U,U,50,46300,47321
2170,1,35,8,13,2,4,2,49,F,H,49,92300,72554
2194,1,20,6,10,2,4,1,40,M,H,49,100600,50524
2231,1,70,6,10,2,4,3,33,M,H,50,56400,55168
2235,1,60,7,12,2,4,3,48,M,H,49,87800,42155
2238,0,,6,11,2,4,2,49,M,U,48,97000,48197
2242,0,,6,9,2,3,2,,F,H,57,86300,63302
2262,1,62.5,6,11,2,4,1,46,F,H,49,177800,42955
2311,1,25,7,12,2,4,1,,M,U,48,81700,
2315,1,55,5,7,2,2,4,,F,U,49,25700,
2320,1,30,6,11,2,4,1,27,F,H,48,63400,41642
2321,1,125,7,11,2,4,3,49,M,U,67,217000,
2339,0,,5,10,2,4,1,40,U,U,49,97600,65037
2365,1,45,7,11,2,4,1,42,M,U,49,140800,71499
2379,1,50,6,11,2,4,3,44,M,H,51,159600,80468
2396,1,25,4,5,1,1,2,,U,U,48,58800,
2408,1,50,5,10,2,4,2,39,F,H,54,450000,101793
2415,1,125,6,7,2,2,2,42,F,H,61,550100,82540
2431,0,,6,11,2,4,4,52,M,H,50,33500,31845
2444,0,,7,10,2,3,3,52,M,U,49,74400,42099
2464,1,35,7,11,2,4,2,46,M,H,48,48100,34000
2490,1,15,4,9,2,4,1,49,M,U,49,62000,41952
2491,0,,6,11,2,2,4,,F,U,53,67800,
2499,1,25,6,11,2,2,1,,F,H,53,81800,55667
2510,0,,6,7,2,2,1,49,M,H,55,95900,43729
2512,1,125,6,7,2,2,2,50,M,H,60,125000,51059
2519,1,50,7,11,2,4,2,,M,H,49,72000,58224
2525,0,,6,8,2,2,3,41,F,H,50,160100,75004
2567,0,,6,7,2,2,2,46,F,U,56,112500,43021
