,ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Age,Gender,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome,Age_empflag,AvgHomeValue_empflag,AvgIncome_empflag,Age_group1,Age_group2
0,12,1,50.0,5.65,9.5,1.6,3.0,4,79.0,M,H,49.89490408,33400.0,39460.0,False,False,False,"(69, 86]","(69.75, 86]"
1,53,0,,4.5,9.0,1.4,3.6,3,71.0,M,H,48.57474152,37600.0,33545.0,False,False,False,"(69, 86]","(69.75, 86]"
2,67,1,25.0,6.4,11.0,2.0,3.6,1,79.0,F,H,49.27264646,100400.0,42091.0,False,False,False,"(69, 86]","(69.75, 86]"
3,71,1,80.0,7.15,10.25,2.4,3.6,1,63.0,F,H,47.33495336,39900.0,39313.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
4,142,1,15.0,5.9,10.5,2.0,3.8,1,59.1589722451,F,U,47.82740412,47500.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
5,159,1,60.0,7.65,12.75,2.4,4.4,2,81.0,M,U,48.67344929,53000.0,49487.0,False,False,False,"(69, 86]","(69.75, 86]"
6,186,0,,7.0,12.5,2.0,4.2,2,59.1589722451,F,U,48.56038895,91000.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
7,210,0,,5.25,9.75,1.6,3.4,3,69.0,F,H,49.64423731,66300.0,49047.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
8,220,1,40.0,6.65,10.25,2.0,3.2,1,45.0,M,H,48.4548121,55000.0,43927.0,False,False,False,"[21, 51]","(37.25, 53.5]"
9,250,1,75.0,6.15,10.75,2.4,4.4,3,86.0,F,U,48.72426227,46900.0,47256.0,False,False,False,"(69, 86]","(69.75, 86]"
10,257,0,,3.0,6.5,1.0,1.0,3,55.0,F,H,52.56132879,49000.0,40043.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
11,263,1,50.0,7.65,12.5,2.4,4.2,3,77.0,U,U,50.28295233,215600.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
12,268,1,165.0,7.15,12.25,2.4,4.4,2,37.0,F,U,59.93147451,176500.0,61523.0,False,False,False,"[21, 51]","(20.935, 37.25]"
13,282,1,100.0,3.9,6.75,1.2,2.0,2,30.0,M,H,51.02461047,111700.0,89077.0,False,False,False,"[21, 51]","(20.935, 37.25]"
14,325,0,,6.0,10.25,2.0,3.8,2,37.0,F,H,64.07339973,543500.0,165543.0,False,False,False,"[21, 51]","(20.935, 37.25]"
15,341,1,125.0,6.9,11.5,2.0,3.6,3,67.0,F,U,49.07179955,51700.0,53513.4573612,False,False,True,"(59.159, 69]","(53.5, 69.75]"
16,364,1,50.0,5.65,10.5,2.0,3.8,4,59.0,F,H,52.91285004,310000.0,44543.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
17,368,1,50.0,6.4,10.5,2.2,3.8,1,75.0,M,H,50.27366368,225700.0,71260.0,False,False,False,"(69, 86]","(69.75, 86]"
18,383,0,,5.5,10.5,1.8,1.8,2,59.1589722451,M,U,62.06394606,243900.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
19,387,1,25.0,3.4,7.5,1.2,2.8,1,59.1589722451,F,U,49.61324863,78900.0,53504.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
20,397,1,80.0,4.15,7.5,1.0,0.8,4,79.0,F,H,55.48075865,185700.0,93770.0,False,False,False,"(69, 86]","(69.75, 86]"
21,403,1,175.0,5.65,9.25,1.8,3.2,3,58.0,U,U,64.31111356,76500.0,60721.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
22,427,1,50.0,4.15,8.75,1.4,3.4,2,59.1589722451,M,U,48.79958589,70900.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
23,441,1,50.0,6.65,11.75,2.4,4.4,1,56.0,F,U,47.96182576,55000.0,19203.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
24,458,0,,3.5,9.0,1.4,3.6,3,80.0,F,U,50.77451726,168800.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
25,511,1,60.0,5.9,9.5,2.0,3.4,3,82.0,F,U,49.59521976,102400.0,42324.0,False,False,False,"(69, 86]","(69.75, 86]"
26,527,0,,6.0,11.5,2.0,4.2,1,64.0,F,H,48.85424786,68400.0,62414.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
27,539,0,,4.75,8.75,1.6,1.6,3,75.0,M,H,67.26660214,200300.0,105000.0,False,False,False,"(69, 86]","(69.75, 86]"
28,542,1,50.0,2.9,6.75,1.0,0.8,1,59.1589722451,M,U,52.16658297,53500.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
29,544,0,,6.5,11.5,2.2,4.0,2,58.0,F,U,48.61459766,26600.0,39250.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
30,545,0,,5.5,10.25,1.6,3.4,3,48.0,F,H,50.65518343,122100.0,62793.0,False,False,False,"[21, 51]","(37.25, 53.5]"
