ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Age,Gender,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome
12,1,50,5.65,9.5,1.6,3,4,79,M,H,49.89490408,33400,39460
53,0,,4.5,9,1.4,3.6,3,71,M,H,48.57474152,37600,33545
67,1,25,6.4,11,2,3.6,1,79,F,H,49.27264646,100400,42091
71,1,80,7.15,10.25,2.4,3.6,1,63,F,H,47.33495336,39900,39313
142,1,15,5.9,10.5,2,3.8,1,,F,U,47.82740412,47500,
159,1,60,7.65,12.75,2.4,4.4,2,81,M,U,48.67344929,53000,49487
186,0,,7,12.5,2,4.2,2,,F,U,48.56038895,91000,
210,0,,5.25,9.75,1.6,3.4,3,69,F,H,49.64423731,66300,49047
220,1,40,6.65,10.25,2,3.2,1,45,M,H,48.4548121,55000,43927
250,1,75,6.15,10.75,2.4,4.4,3,87,F,U,48.72426227,46900,47256
257,0,,3,6.5,1,1,3,55,F,H,52.56132879,49000,40043
263,1,50,7.65,12.5,2.4,4.2,3,77,U,U,50.28295233,215600,
268,1,165,7.15,12.25,2.4,4.4,2,37,F,U,59.93147451,176500,61523
282,1,100,3.9,6.75,1.2,2,2,30,M,H,51.02461047,111700,89077
325,0,,6,10.25,2,3.8,2,37,F,H,64.07339973,543500,165543
341,1,125,6.9,11.5,2,3.6,3,67,F,U,49.07179955,51700,
364,1,50,5.65,10.5,2,3.8,4,59,F,H,52.91285004,310000,44543
368,1,50,6.4,10.5,2.2,3.8,1,75,M,H,50.27366368,225700,71260
383,0,,5.5,10.5,1.8,1.8,2,,M,U,62.06394606,243900,
387,1,25,3.4,7.5,1.2,2.8,1,,F,U,49.61324863,78900,53504
397,1,80,4.15,7.5,1,0.8,4,79,F,H,55.48075865,185700,93770
403,1,175,5.65,9.25,1.8,3.2,3,58,U,U,64.31111356,76500,60721
427,1,50,4.15,8.75,1.4,3.4,2,,M,U,48.79958589,70900,
441,1,50,6.65,11.75,2.4,4.4,1,56,F,U,47.96182576,55000,19203
458,0,,3.5,9,1.4,3.6,3,80,F,U,50.77451726,168800,
511,1,60,5.9,9.5,2,3.4,3,82,F,U,49.59521976,102400,42324
527,0,,6,11.5,2,4.2,1,64,F,H,48.85424786,68400,62414
539,0,,4.75,8.75,1.6,1.6,3,75,M,H,67.26660214,200300,105000
542,1,50,2.9,6.75,1,0.8,1,,M,U,52.16658297,53500,
544,0,,6.5,11.5,2.2,4,2,58,F,U,48.61459766,26600,39250
545,0,,5.5,10.25,1.6,3.4,3,48,F,H,50.65518343,122100,62793
551,1,100,4.15,7.75,1.6,3.4,4,85,F,H,49.00322061,34000,36236
