fans,topic,qiushi,comment_1,favour,handpick,martial_status,constellation,profession,home,qiushi_age,user_url
0,1,47,8,20428,0,married,双鱼座,手艺汪,国外 · 冰岛,2876天,https://www.qiushibaike.com/users/112899/
43,0,60,172,25162,0,married,处女座,IT汪,浙江 · 杭州,73天,https://www.qiushibaike.com/users/36401850/
1,0,9,26,684,0,不详,双子座,公务猿,广西 · 贺州,1464天,https://www.qiushibaike.com/users/15047842/
0,7,51,21,16166,0,single,摩羯座,手艺汪,河南 · 郑州,11天,https://www.qiushibaike.com/users/37267710/
0,8,29,16,6596,0,不详,处女座,商务汪,辽宁 · 锦州,1231天,https://www.qiushibaike.com/users/22688287/
0,0,12,66,8942,0,不详,金牛座,搬砖汗,广西 · 南宁,1197天,https://www.qiushibaike.com/users/24063134/
240,1,55,3,141166,3,married,狮子座,商务汪,江苏 · 苏州,29天,https://www.qiushibaike.com/users/37076223/
17,1,55,47,170316,6,single,白羊座,搬砖汗,辽宁 · 辽阳,49天,https://www.qiushibaike.com/users/36760891/
0,22,42,173,34977,0,不详,狮子座,家里蹲,辽宁 · 沈阳,1363天,https://www.qiushibaike.com/users/17555719/
35,1,262,25,212656,5,married,天蝎座,公务猿,浙江 · 杭州,1033天,https://www.qiushibaike.com/users/28730286/
0,0,2,35,162,0,single,双子座,家里蹲,广西 · 北海,974天,https://www.qiushibaike.com/users/29618162/
1,0,5,0,846,0,不详,双子座,不详,不详,1609天,https://www.qiushibaike.com/users/12271887/
2,53,31,113,14038,0,single,射手座,商务汪,四川 · 宜宾,1118天,https://www.qiushibaike.com/users/26352332/
0,399,986,5279,2818699,170,married,水瓶座,商务汪,广东 · 深圳,391天,https://www.qiushibaike.com/users/33491754/
1,11,4,26,247,0,不详,处女座,公务猿,山东 · 滨州,964天,https://www.qiushibaike.com/users/30055029/
18,6,11,708,17676,5,single,处女座,手艺汪,江苏 · 淮安,437天,https://www.qiushibaike.com/users/33303677/
7330,3,741,6210,2060016,107,inlove,摩羯座,搬砖汗,安徽 · 蚌埠,1214天,https://www.qiushibaike.com/users/23331917/
